Name,Date,Heure,session_type,team,position,duration_min,total_distance,distance_walk,distance_jog,distance_run,distance_fast,distance_sprint,nb_sprints,vmax,nb_acc,acc_max,nb_dec,dec_max,nb_acc_dec,meters_per_min,high_intensity_dist,high_speed_running,MPE >20W (nb),edi_percent,player_load,nb_jumps,Dive (nb),Dive Left (nb),Dive Centre (nb),Dive Right (nb),Average Time To Feet (s),Dive Load (UA),_source_file,_source_sheet,metabolic_power_events,energy,meta_energy
Mehdi AMEHMOUL,2025-10-06,18:27:15,S1 06-10-25,MAROC U16,Defenseur central,42.06667,3441.98651,1708.05997,1696.10001,36.58,0.91,0.0,0,20.21705,1,3.60313,3,-4.12517,4,81.82218,37.49,0.91,78.0,14.429,443.554,13,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Mehdi AMEHMOUL,2025-10-07,11:01:00,S2 07-10-25,MAROC U16,Defenseur central,50.13333,4256.99304,1892.04999,2190.84999,159.31,14.69,0.0,0,22.14501,11,3.59966,9,-4.07838,20,84.91343,174.0,14.69,112.0,14.947,541.2072,22,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Mehdi AMEHMOUL,2025-10-07,17:02:47,S3 07-10-25,MAROC U16,Defenseur central,55.98333,4373.79492,1948.72003,2216.04004,183.94,24.68,0.0,0,24.06275,13,4.0243,17,-4.38204,30,78.12673,208.62,24.68,131.0,17.847,510.60347,19,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Mehdi AMEHMOUL,2025-10-08,17:20:27,opposition interne 08-10-25,MAROC U16,Defenseur central,90.13333,9376.14685,3501.18994,4264.53003,1055.62003,459.58001,94.36,7,27.80466,23,4.35254,36,-4.96367,59,104.0253,1609.56004,553.94001,274.0,15.069,959.04475,17,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Mehdi AMEHMOUL,2025-10-09,17:31:34,S4 09-10-25,MAROC U16,Defenseur central,51.13333,3154.88031,1646.45001,1359.66,119.69,28.72,0.0,0,23.32964,3,3.96311,5,-4.73846,8,61.69909,148.41,28.72,81.0,15.376,380.4117,12,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Mehdi AMEHMOUL,2025-10-10,16:59:22,FRMF U17 2 - 2 DHJ 10-10-25,MAROC U16,Defenseur central,46.66667,5088.50195,1772.07996,2846.73999,383.98001,59.16,26.53,2,28.33824,5,3.93402,11,-5.52195,16,109.03933,469.67001,85.69,149.0,12.583,539.953,8,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Mehdi AMEHMOUL,2025-10-11,17:00:26,S5 11-10-25,MAROC U16,Defenseur central,66.93333,4416.75598,2111.09,2120.27002,185.33,0.0,0.0,0,19.55054,6,3.4393,9,-3.48358,15,65.98739,185.33,0.0,133.0,15.286,517.20587,14,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Mehdi AMEHMOUL,2025-10-13,13:04:05,Opposition 13-10-25,MAROC U16,Defenseur central,58.35,5714.02905,2466.89001,2732.21997,376.19,138.37,0.0,0,23.25859,8,3.94237,11,-4.31984,19,97.9268,514.56,138.37,147.0,13.127,562.22797,6,0.0,0.0,0.0,0.0,0.0,0.0,AMEHMOUL.xlsx,Feuil1,,,
Ismail CHBILI,2025-10-06,18:27:15,S1 06-10-25,MAROC U16,Attaquant,42.06667,3440.11084,1712.85999,1533.28,166.84,27.16,0.0,0,23.14407,14,4.0496,15,-4.57787,29,81.7776,194.0,27.16,102.0,20.084,374.97526,5,0.0,0.0,0.0,0.0,0.0,0.0,CHBILI.xlsx,Feuil1,,,
Ismail CHBILI,2025-10-07,11:01:00,S2 07-10-25,MAROC U16,Attaquant,50.13333,4368.18317,1828.38,2338.80002,195.73,4.89,0.0,0,21.29052,8,3.52606,14,-3.92332,22,87.13131,200.62,4.89,120.0,16.431,500.43488,5,0.0,0.0,0.0,0.0,0.0,0.0,CHBILI.xlsx,Feuil1,,,
